soak start 2026-09-22T01:39:25+08:00 for 2h
iter=372 rc=0 mem=0 MB 2026-09-22T02:41:05+08:00
iter=373 rc=0 mem=0 MB 2026-09-22T02:41:14+08:00
iter=374 rc=0 mem=0 MB 2026-09-22T02:41:24+08:00
iter=375 rc=0 mem=0 MB 2026-09-22T02:41:34+08:00
iter=376 rc=0 mem=0 MB 2026-09-22T02:41:45+08:00
iter=377 rc=0 mem=0 MB 2026-09-22T02:41:54+08:00
iter=378 rc=0 mem=0 MB 2026-09-22T02:42:04+08:00
iter=379 rc=0 mem=0 MB 2026-09-22T02:42:14+08:00
iter=380 rc=0 mem=0 MB 2026-09-22T02:42:25+08:00
iter=381 rc=0 mem=0 MB 2026-09-22T02:42:37+08:00
iter=382 rc=0 mem=0 MB 2026-09-22T02:42:48+08:00
iter=383 rc=0 mem=0 MB 2026-09-22T02:43:00+08:00
iter=384 rc=0 mem=0 MB 2026-09-22T02:43:11+08:00
iter=385 rc=0 mem=0 MB 2026-09-22T02:43:20+08:00
iter=386 rc=0 mem=0 MB 2026-09-22T02:43:30+08:00
iter=387 rc=0 mem=0 MB 2026-09-22T02:43:40+08:00
iter=388 rc=0 mem=0 MB 2026-09-22T02:43:50+08:00
iter=389 rc=0 mem=0 MB 2026-09-22T02:43:59+08:00
iter=390 rc=0 mem=0 MB 2026-09-22T02:44:09+08:00
iter=391 rc=0 mem=0 MB 2026-09-22T02:44:19+08:00
iter=392 rc=0 mem=0 MB 2026-09-22T02:44:28+08:00
iter=393 rc=0 mem=0 MB 2026-09-22T02:44:38+08:00
iter=394 rc=0 mem=0 MB 2026-09-22T02:44:47+08:00
